dsa_score,resume_score,github_activity,project_count,mock_interview_score,communication_rating,coding_consistency,readiness_score,predicted_role
61.56354589595345,28.768402760054723,24.215694860892018,3.0,65.95243786822297,3.208661562325716,66.75365922625357,42.84644353618405,AI/ML Engineer
49.999661613679805,10.171796947607541,90.7750286050684,6.0,37.439272343501834,6.337077456963324,63.11613911803234,45.04232230304077,DevOps Engineer
61.86075304926359,68.20851718342618,18.668549766661137,6.0,34.381807462642044,6.595309735058365,71.47149810525958,46.222699278306905,AI/ML Engineer
31.411046276432806,46.145810702977315,19.201077149151967,6.0,33.99459822938202,8.958676911983197,41.86407185280922,42.38759432017739,AI/ML Engineer
90.25159779864478,52.31806312244298,67.37913901441316,3.0,27.444808924147875,8.463156737272085,41.968981761255506,63.98082956819698,Full Stack Developer
24.16794010866928,55.68904131592818,27.198720238535063,2.0,63.3004880043191,7.512462301705856,23.32930473065496,41.11275997412746,Full Stack Developer
75.8234295453383,57.48138039484726,78.256633453278,1.0,7.645302729256252,6.92121038051285,81.72890279814071,53.95010173905037,Full Stack Developer
36.838946817435975,20.064873163150313,52.66120751209247,7.0,37.017921085190665,6.995097338749354,35.776910072905196,36.43769268819912,DevOps Engineer
43.27478644229819,13.25455445422858,72.38020556926024,6.0,73.41924549035879,7.514568612596296,58.44726287410856,48.56527969596469,DevOps Engineer
72.0395657759638,68.69996018692423,19.94345372242454,3.0,17.73308100600984,7.932099696830001,73.31349192474318,53.949479902625754,AI/ML Engineer
84.73196668199094,42.159994967650725,23.85521400159643,1.0,53.14353279955185,8.551780924018406,66.58261701198299,50.20440486348226,AI/ML Engineer
19.64452683785951,1.2553228868683544,44.69573013013206,5.0,22.857016036778084,3.493304143367158,12.766178149816398,17.92194723534992,DevOps Engineer
59.7164235962852,47.28822964056965,63.688162529584645,5.0,18.392150554866447,3.2341605684489485,72.41507262284665,49.05167898395012,DevOps Engineer
53.789069824925996,15.431056812411438,6.125653787141739,3.0,20.765102212712307,8.694352903686262,38.489703183171414,28.445706807981235,AI/ML Engineer
24.901316313785006,25.977463755776974,66.66320025555883,5.0,33.656264232858625,7.046330687222337,66.63157905584164,40.102469909734495,DevOps Engineer
63.535454241843404,36.841485220460136,47.562592004870275,7.0,57.93160156807983,5.769886143061164,82.4376166868091,52.95911603135195,AI/ML Engineer
26.576237332913756,31.96898522295193,57.51325320950394,4.0,48.73351589249857,5.184371953865399,51.60932393537079,38.74176371063276,DevOps Engineer
51.54030943591819,77.1674537547168,29.804804048353787,4.0,46.144949995000204,2.582886653326246,35.655326038914495,42.863393709411305,Full Stack Developer
38.15336683103037,12.232840521632262,75.81256272674992,7.0,38.889126073356266,6.030348018617132,78.99105176226333,51.339593486811324,DevOps Engineer
43.81079245774021,51.46521823184364,10.323353764053198,5.0,31.709307629733875,3.4256883618747667,91.43795213608566,40.03988188031572,AI/ML Engineer
41.83952466696299,37.09991731274221,54.00662674634853,2.0,54.20584275162314,7.6830930846898395,49.0301722218318,42.67430002300908,AI/ML Engineer
69.30503377574219,18.522422193208318,76.87420584701078,4.0,34.277543005044755,9.526711385110776,25.270260895490498,52.148414215969915,Full Stack Developer
26.002611341832004,57.653776463374385,16.96197979239064,2.0,11.38555998671688,7.001623025074308,81.07700522377516,43.50013781352192,DevOps Engineer
57.63284013658531,44.455661934339446,5.645363932254393,6.0,13.84343556617171,6.382435334511992,23.823413967184162,37.24383216747439,Backend Developer
39.17953008916769,13.415253005292241,72.5195611219909,3.0,67.62491029836934,8.14669029460019,55.60295981885331,53.59320154818722,DevOps Engineer
42.893773821903494,53.075446376506186,51.41083082211774,6.0,22.20154751174941,4.441453944060216,99.14927935013293,39.04053771295468,DevOps Engineer
